Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Adrian Peterson ,FA,RB,16.0,16,211,13.19,898,56.12,4.26,32,15.19,7,0.44,5,0.31,17,1.06,23,1.44,142,8.88,8.35,0,0.0,228,14.25,234,14.62,2,0.12,0.01,1.0,130.0,8.12,7.65,5.25,8.67,7,2,3,4,0,0.78,0.57,9.34,138.5,8.66,8.25,5.45,9.27,8,1,5,2,0,0.78,0.25,9.8,147.0,9.19,9.0,5.7,10.02,8,1,6,1,0,0.78,0.12,10.44
Jordan Howard ,FA,RB,18.0,10,119,11.9,525,52.5,4.41,20,13.2,1,0.1,6,0.6,10,1.0,14,1.4,69,6.9,6.9,1,0.1,129,12.9,133,13.3,0,0.0,0.0,0.96,101.4,10.14,7.65,8.66,9.55,5,0,2,2,1,1.0,0.6,9.38,106.4,10.64,8.15,8.94,10.07,5,1,2,1,1,0.67,0.4,9.61,111.4,11.14,8.65,9.25,10.76,5,1,2,1,1,0.67,0.4,10.13
Raheem Mostert ,MIA,RB,1.0,16,137,8.56,772,48.25,5.64,41,15.19,7,0.44,8,0.5,14,0.88,22,1.38,180,11.25,12.86,2,0.12,151,9.44,159,9.94,2,0.12,0.01,1.0,151.2,9.45,7.9,8.11,9.04,8,0,4,0,4,1.0,0.5,9.24,158.2,9.89,8.15,8.42,9.5,8,1,3,1,3,0.78,0.5,9.45,165.2,10.32,8.4,8.75,10.12,8,2,2,1,3,0.6,0.5,9.75
David Johnson ,FA,RB,26.0,13,94,7.23,345,26.54,3.67,18,9.0,0,0.0,2,0.15,36,2.77,47,3.62,370,28.46,10.28,4,0.31,130,10.0,141,10.85,1,0.08,0.01,1.0,105.5,8.12,7.4,8.2,7.74,6,1,2,2,2,0.86,0.67,8.49,123.5,9.5,7.9,9.39,8.88,6,1,1,3,2,0.86,0.83,9.27,141.5,10.88,8.4,10.62,10.16,6,1,1,3,2,0.86,0.83,10.07
Tarik Cohen ,FA,RB,29.0,16,64,4.0,213,13.31,3.33,19,7.44,0,0.0,0,0.0,79,4.94,104,6.5,456,28.5,5.77,3,0.19,143,8.94,168,10.5,0,0.0,0.0,1.0,84.9,5.31,4.75,3.18,6.42,11,3,2,0,0,0.14,0.0,6.15,124.4,7.78,7.65,3.62,9.23,7,5,3,1,0,0.33,0.14,8.85,163.9,10.24,10.35,4.4,11.92,6,4,5,1,0,0.6,0.17,11.41
Duke Johnson Jr. ,FA,RB,34.0,16,83,5.19,410,25.62,4.94,40,13.81,6,0.38,2,0.12,44,2.75,62,3.88,410,25.62,9.32,3,0.19,127,7.94,145,9.06,1,0.06,0.01,1.0,110.0,6.88,6.15,4.55,7.6,8,4,2,2,0,0.33,0.25,7.32,132.0,8.25,7.35,5.18,8.95,7,3,4,2,0,0.6,0.29,8.61,154.0,9.62,8.75,5.87,10.42,8,2,3,3,0,0.6,0.38,9.93
Royce Freeman ,FA,RB,22.5,16,132,8.25,496,31.0,3.76,26,10.19,1,0.06,3,0.19,43,2.69,50,3.12,256,16.0,5.95,1,0.06,175,10.94,182,11.38,0,0.0,0.0,1.0,99.2,6.2,6.4,3.66,7.24,7,5,4,0,0,0.33,0.0,7.44,120.7,7.54,7.35,3.93,8.77,7,6,3,0,0,0.23,0.0,8.51,142.2,8.89,8.85,4.33,10.38,7,6,2,1,0,0.23,0.14,9.94
Tevin Coleman ,FA,RB,20.0,14,137,9.79,544,38.86,3.97,48,14.57,7,0.5,6,0.43,21,1.5,30,2.14,180,12.86,8.57,1,0.07,158,11.29,167,11.93,0,0.0,0.0,1.0,114.4,8.17,5.85,9.04,7.61,7,3,2,1,1,0.4,0.29,7.52,124.9,8.92,6.85,9.18,8.39,7,3,2,1,1,0.4,0.29,8.32,135.4,9.67,7.85,9.35,9.32,7,3,3,0,1,0.4,0.14,9.15
LeSean McCoy ,FA,RB,30.0,13,101,7.77,465,35.77,4.6,39,14.85,6,0.46,4,0.31,28,2.15,34,2.62,181,13.92,6.46,1,0.08,129,9.92,135,10.38,2,0.15,0.02,1.0,90.6,6.97,4.4,5.9,7.22,7,3,1,1,1,0.3,0.29,6.49,104.6,8.05,6.3,6.15,8.36,7,3,1,1,1,0.3,0.29,7.86,118.6,9.12,8.3,6.45,9.65,6,3,2,1,1,0.44,0.33,9.42
Chris Thompson ,FA,RB,36.0,11,37,3.36,138,12.55,3.73,16,7.18,0,0.0,0,0.0,42,3.82,58,5.27,378,34.36,9.0,0,0.0,79,7.18,95,8.64,0,0.0,0.0,1.0,51.6,4.69,4.3,2.79,5.86,8,2,1,0,0,0.1,0.0,5.49,72.6,6.6,7.2,3.5,7.9,5,4,2,0,0,0.22,0.0,7.77,93.6,8.51,9.2,4.36,9.92,4,5,2,0,0,0.22,0.0,9.58
Latavius Murray ,FA,RB,21.0,16,146,9.12,637,39.81,4.36,30,12.62,4,0.25,5,0.31,34,2.12,43,2.69,235,14.69,6.91,1,0.06,180,11.25,189,11.81,0,0.0,0.0,1.0,123.2,7.7,4.15,8.52,7.28,9,3,2,0,2,0.33,0.22,6.55,140.2,8.76,5.15,9.44,8.18,9,3,2,0,2,0.33,0.22,7.4,157.2,9.82,6.15,10.4,9.22,9,3,2,0,2,0.33,0.22,8.32
Peyton Barber ,FA,RB,25.0,16,154,9.62,470,29.38,3.05,17,8.56,0,0.0,6,0.38,16,1.0,24,1.5,115,7.19,7.19,1,0.06,170,10.62,178,11.12,1,0.06,0.01,1.0,100.5,6.28,4.9,5.0,6.78,10,3,1,1,1,0.23,0.2,6.54,108.5,6.78,5.9,5.0,7.42,10,3,1,2,0,0.23,0.2,7.27,116.5,7.28,6.9,5.04,8.19,11,3,1,1,0,0.14,0.09,8.0
Bo Scarbrough ,FA,RB,14.0,6,89,14.83,377,62.83,4.24,30,18.0,3,0.5,1,0.17,1,0.17,4,0.67,5,0.83,5.0,0,0.0,90,15.0,93,15.5,1,0.17,0.01,0.78,42.2,7.03,7.4,2.95,8.67,2,3,1,0,0,0.2,0.0,6.96,42.7,7.12,7.65,2.95,8.89,2,3,1,0,0,0.2,0.0,7.12,43.2,7.2,7.9,2.97,9.24,3,3,0,0,0,0.0,0.0,7.25
Matt Breida ,NYG,RB,2.0,13,123,9.46,623,47.92,5.07,83,20.08,9,0.69,1,0.08,19,1.46,22,1.69,120,9.23,6.32,1,0.08,142,10.92,145,11.15,1,0.08,0.01,1.0,84.3,6.48,5.0,6.73,6.5,8,3,1,0,1,0.18,0.12,6.41,93.8,7.22,5.5,7.03,7.25,8,3,1,0,1,0.18,0.12,6.98,103.3,7.95,6.0,7.36,8.13,8,3,1,0,1,0.18,0.12,7.6
Rex Burkhead ,FA,RB,41.0,13,65,5.0,302,23.23,4.65,33,9.08,2,0.15,3,0.23,27,2.08,38,2.92,279,21.46,10.33,0,0.0,92,7.08,103,7.92,1,0.08,0.01,1.0,74.1,5.7,4.8,4.7,6.25,8,2,2,1,0,0.3,0.12,5.95,87.6,6.74,5.8,5.46,7.22,8,1,2,2,0,0.44,0.25,6.93,101.1,7.78,6.4,6.26,8.28,8,1,2,2,0,0.44,0.25,7.69
Nyheim Hines ,BUF,RB,1.0,16,52,3.25,199,12.44,3.83,18,7.25,0,0.0,2,0.12,44,2.75,58,3.62,320,20.0,7.27,0,0.0,96,6.0,110,6.88,1,0.06,0.01,1.0,73.9,4.62,4.45,3.49,5.46,12,1,3,0,0,0.23,0.0,5.26,95.9,5.99,6.25,3.46,7.2,10,3,3,0,0,0.23,0.0,6.85,117.9,7.37,7.85,3.57,9.03,8,5,3,0,0,0.23,0.0,8.4
Derrius Guice ,FA,RB,31.0,5,42,8.4,245,49.0,5.83,60,21.6,7,1.4,2,0.4,7,1.4,9,1.8,79,15.8,11.29,1,0.2,49,9.8,51,10.2,0,0.0,0.0,0.72,50.4,10.08,4.2,9.56,9.26,3,0,1,0,1,0.67,0.33,5.4,53.9,10.78,5.3,9.69,10.0,3,0,1,0,1,0.67,0.33,6.0,57.4,11.48,6.8,9.85,10.92,3,0,1,0,1,0.67,0.33,6.78
Boston Scott ,PHI,RB,1.0,11,61,5.55,245,22.27,4.02,25,8.82,1,0.09,5,0.45,24,2.18,26,2.36,204,18.55,8.5,0,0.0,85,7.73,87,7.91,1,0.09,0.01,1.0,72.9,6.63,3.0,9.89,6.04,8,1,0,0,2,0.22,0.25,5.03,84.9,7.72,4.2,10.68,6.99,8,1,0,0,2,0.22,0.25,6.0,96.9,8.81,4.6,11.6,8.04,8,0,1,0,2,0.38,0.25,6.73
Frank Gore ,FA,RB,22.5,16,166,10.38,599,37.44,3.61,41,12.38,6,0.38,2,0.12,13,0.81,16,1.0,100,6.25,7.69,0,0.0,179,11.19,182,11.38,0,0.0,0.0,1.0,81.9,5.12,3.8,4.67,5.62,10,3,1,2,0,0.23,0.2,5.54,88.4,5.52,4.2,4.92,6.07,11,2,1,2,0,0.23,0.18,5.92,94.9,5.93,4.5,5.22,6.61,12,2,1,1,0,0.14,0.08,6.23
Jaylen Samuels ,FA,RB,35.0,14,66,4.71,175,12.5,2.65,13,5.86,0,0.0,1,0.07,47,3.36,57,4.07,305,21.79,6.49,1,0.07,113,8.07,123,8.79,1,0.07,0.01,1.0,58.4,4.17,3.3,4.31,4.68,11,1,1,1,0,0.17,0.09,4.57,81.9,5.85,4.55,5.58,6.23,11,0,2,1,0,0.27,0.09,5.89,105.4,7.53,5.8,7.05,7.79,11,0,1,1,1,0.27,0.18,7.17
DeAndre Washington ,FA,RB,33.0,16,108,6.75,387,24.19,3.58,36,8.5,2,0.12,3,0.19,36,2.25,41,2.56,292,18.25,8.11,0,0.0,144,9.0,149,9.31,0,0.0,0.0,1.0,85.9,5.37,2.75,5.28,5.72,12,0,2,2,0,0.33,0.17,4.95,103.9,6.49,3.45,6.06,6.77,12,0,1,3,0,0.33,0.25,5.76,121.9,7.62,4.4,6.92,7.92,12,0,1,3,0,0.33,0.25,6.7
Alexander Mattison ,MIN,RB,2.0,13,100,7.69,462,35.54,4.62,35,15.46,5,0.38,1,0.08,10,0.77,12,0.92,82,6.31,8.2,0,0.0,110,8.46,112,8.62,1,0.08,0.01,1.0,58.4,4.49,4.9,3.2,5.43,9,3,1,0,0,0.08,0.0,5.55,63.4,4.88,4.9,3.46,5.85,9,3,1,0,0,0.08,0.0,5.74,68.4,5.26,4.9,3.81,6.35,9,4,0,0,0,0.0,0.0,5.92
